flow_id,flow_name,flow_folder,flow_status,trigger_type,action_id,action_type,message_id,message_name,channel,branch_path,email_number,subject,preview_text,template_id,html_filename
WQEuMb,Post-Purchase - 1-Db Goddess & Thyro-Drive - Cross-Sell - 2025,goddess-thyro-drive,live,Added to List,87520163,SEND_EMAIL,WL3erM,F-PP-1-Db-Crs-Sl-Cr-Fe,Email,female,1,Is this standing in your way?,Poor sleep and elevated stress levels don't just make you tired...,Yyt7Wg,goddess-thyro-drive_email-1_is-this-standing-in-your-way_female.html
WQEuMb,Post-Purchase - 1-Db Goddess & Thyro-Drive - Cross-Sell - 2025,goddess-thyro-drive,live,Added to List,87520171,SEND_EMAIL,UfX3Xh,F-PP-1-Db-Crs-Sl-Cr,Email,default,1,Feel like you're spinning your wheels?,Poor sleep and elevated stress levels don't just make you tired...,W4nVtL,goddess-thyro-drive_email-1_feel-like-youre-spinning-your-wheels_default.html
WQEuMb,Post-Purchase - 1-Db Goddess & Thyro-Drive - Cross-Sell - 2025,goddess-thyro-drive,live,Added to List,87520179,SEND_EMAIL,UbjMBT,F-PP-1-Db-Crs-Sl-Cr-Fe-L,Email,female-legionnaire,1,Is this standing in your way?,Poor sleep and elevated stress levels don't just make you tired...,ShwygN,goddess-thyro-drive_email-1_is-this-standing-in-your-way_female-legionnaire.html
WQEuMb,Post-Purchase - 1-Db Goddess & Thyro-Drive - Cross-Sell - 2025,goddess-thyro-drive,live,Added to List,87520187,SEND_EMAIL,XFyiht,F-PP-1-Db-Crs-Sl-Cr-L,Email,legionnaire,1,Feel like you're spinning your wheels?,Poor sleep and elevated stress levels don't just make you tired...,THLqg7,goddess-thyro-drive_email-1_feel-like-youre-spinning-your-wheels_legionnaire.html
WQEuMb,Post-Purchase - 1-Db Goddess & Thyro-Drive - Cross-Sell - 2025,goddess-thyro-drive,live,Added to List,87520458,SEND_EMAIL,SyhaME,F-PP-1-Db-Crs-Sl-Cr-Fe-2,Email,female,2,Fat loss doesn't stop when the day ends...,Day + night support = better fat-loss results...,RMz7pN,goddess-thyro-drive_email-2_fat-loss-doesnt-stop-when-the-day-ends_female.html
WQEuMb,Post-Purchase - 1-Db Goddess & Thyro-Drive - Cross-Sell - 2025,goddess-thyro-drive,live,Added to List,87520463,SEND_EMAIL,VruCQB,F-PP-1-Db-Crs-Sl-Cr-2,Email,default,2,Fat loss doesn't stop when the day ends...,Day + night support = better fat-loss results...,TgMdAT,goddess-thyro-drive_email-2_fat-loss-doesnt-stop-when-the-day-ends_default.html
WQEuMb,Post-Purchase - 1-Db Goddess & Thyro-Drive - Cross-Sell - 2025,goddess-thyro-drive,live,Added to List,87520470,SEND_EMAIL,SVqsn7,F-PP-1-Db-Crs-Sl-Cr-Fe-L-2,Email,female-legionnaire,2,Fat loss doesn't stop when the day ends...,Day + night support = better fat-loss results...,TMdzPE,goddess-thyro-drive_email-2_fat-loss-doesnt-stop-when-the-day-ends_female-legionnaire.html
WQEuMb,Post-Purchase - 1-Db Goddess & Thyro-Drive - Cross-Sell - 2025,goddess-thyro-drive,live,Added to List,87520476,SEND_EMAIL,SdL9q6,F-PP-1-Db-Crs-Sl-Cr-L-2,Email,legionnaire,2,Fat loss doesn't stop when the day ends...,Day + night support = better fat-loss results...,Scrdbp,goddess-thyro-drive_email-2_fat-loss-doesnt-stop-when-the-day-ends_legionnaire.html
TWdBZw,Post-Purchase - 1-Db Goddess - Cross-Sell - 2025,goddess,live,Added to List,87425946,SEND_EMAIL,VJDvvZ,F-PP-1-Db-Crs-Sl-ThDr-Fe,Email,female,1,When fat loss feels stuck...,Make sure your metabolism isn't slowing you down...,Xx5p2u,goddess_email-1_when-fat-loss-feels-stuck_female.html
TWdBZw,Post-Purchase - 1-Db Goddess - Cross-Sell - 2025,goddess,live,Added to List,87425950,SEND_EMAIL,UuBqgK,F-PP-1-Db-Crs-Sl-Cr-Fe,Email,female,1,Is this standing in your way?,Poor sleep and elevated stress levels don't just make you tired...,RSnDwi,goddess_email-1_is-this-standing-in-your-way_female.html
TWdBZw,Post-Purchase - 1-Db Goddess - Cross-Sell - 2025,goddess,live,Added to List,87425954,SEND_EMAIL,Tezj3v,F-PP-1-Db-Crs-Sl-ThDr,Email,default,1,When fat loss feels stuck...,Make sure your metabolism isn't slowing you down...,TCA2xc,goddess_email-1_when-fat-loss-feels-stuck_default.html
TWdBZw,Post-Purchase - 1-Db Goddess - Cross-Sell - 2025,goddess,live,Added to List,87425958,SEND_EMAIL,UpY9Vm,F-PP-1-Db-Crs-Sl-Cr,Email,default,1,Feel like you're spinning your wheels?,Poor sleep and elevated stress levels don't just make you tired...,XdVhqY,goddess_email-1_feel-like-youre-spinning-your-wheels_default.html
TWdBZw,Post-Purchase - 1-Db Goddess - Cross-Sell - 2025,goddess,live,Added to List,87425965,SEND_EMAIL,URJFRc,F-PP-1-Db-Crs-Sl-ThDr-Fe-L,Email,female-legionnaire,1,When fat loss feels stuck...,Make sure your metabolism isn't slowing you down...,UJMmbP,goddess_email-1_when-fat-loss-feels-stuck_female-legionnaire.html
TWdBZw,Post-Purchase - 1-Db Goddess - Cross-Sell - 2025,goddess,live,Added to List,87425969,SEND_EMAIL,XPzqfx,F-PP-1-Db-Crs-Sl-Cr-Fe-L,Email,female-legionnaire,1,Is this standing in your way?,Poor sleep and elevated stress levels don't just make you tired...,UQ2Bs2,goddess_email-1_is-this-standing-in-your-way_female-legionnaire.html
TWdBZw,Post-Purchase - 1-Db Goddess - Cross-Sell - 2025,goddess,live,Added to List,87425974,SEND_EMAIL,SYFxZj,F-PP-1-Db-Crs-Sl-ThDr-L,Email,legionnaire,1,When fat loss feels stuck...,Make sure your metabolism isn't slowing you down...,Si4UEU,goddess_email-1_when-fat-loss-feels-stuck_legionnaire.html
TWdBZw,Post-Purchase - 1-Db Goddess - Cross-Sell - 2025,goddess,live,Added to List,87425978,SEND_EMAIL,Ua6nTb,F-PP-1-Db-Crs-Sl-Cr-L,Email,legionnaire,1,Feel like you're spinning your wheels?,Poor sleep and elevated stress levels don't just make you tired...,VzfU4u,goddess_email-1_feel-like-youre-spinning-your-wheels_legionnaire.html
RjxYRj,Post-Purchase - 1-Db Overdrive & Thyro-Drive - Cross-Sell - 2025,overdrive-thyro-drive,live,Added to List,87602250,SEND_EMAIL,UUpKSh,F-PP-1-Db-Crs-Sl-Cr-Fe,Email,female,1,Is this standing in your way?,Poor sleep and elevated stress levels don't just make you tired...,WGPDnL,overdrive-thyro-drive_email-1_is-this-standing-in-your-way_female.html
RjxYRj,Post-Purchase - 1-Db Overdrive & Thyro-Drive - Cross-Sell - 2025,overdrive-thyro-drive,live,Added to List,87602254,SEND_EMAIL,W5NAL9,F-PP-1-Db-Crs-Sl-Cr-Fe-2,Email,female,2,Fat loss doesn't stop when the day ends...,Day + night support = better fat-loss results...,XSeugC,overdrive-thyro-drive_email-2_fat-loss-doesnt-stop-when-the-day-ends_female.html
RjxYRj,Post-Purchase - 1-Db Overdrive & Thyro-Drive - Cross-Sell - 2025,overdrive-thyro-drive,live,Added to List,87602263,SEND_EMAIL,RMiwMa,F-PP-1-Db-Crs-Sl-Cr,Email,default,1,Feel like you're spinning your wheels?,Poor sleep and elevated stress levels don't just make you tired...,TzJqhD,overdrive-thyro-drive_email-1_feel-like-youre-spinning-your-wheels_default.html
RjxYRj,Post-Purchase - 1-Db Overdrive & Thyro-Drive - Cross-Sell - 2025,overdrive-thyro-drive,live,Added to List,87602270,SEND_EMAIL,U88cyS,F-PP-1-Db-Crs-Sl-Cr-2,Email,default,2,Fat loss doesn't stop when the day ends...,Day + night support = better fat-loss results...,VUy65m,overdrive-thyro-drive_email-2_fat-loss-doesnt-stop-when-the-day-ends_default.html
RjxYRj,Post-Purchase - 1-Db Overdrive & Thyro-Drive - Cross-Sell - 2025,overdrive-thyro-drive,live,Added to List,87602277,SEND_EMAIL,X5WUXd,F-PP-1-Db-Crs-Sl-Cr-Fe-L,Email,female-legionnaire,1,Is this standing in your way?,Poor sleep and elevated stress levels don't just make you tired...,R5EdP9,overdrive-thyro-drive_email-1_is-this-standing-in-your-way_female-legionnaire.html
